P92605,9,1985,5
P92023,G,2013,2
P87032,2,1961,1
P87028,G,1982,26
Y02319,1,2009,45
P91009,D,2007,3
P91009,d,2007,406
P87641,U,2008,139
P87668,f,2010,2725
P87668,F,2010,266
P91006,6,2001,19
P91007,H,2006,3
P83006,H,2009,1
P91630,R,1996,1
P87654,S,1968,2
Y02767,b,2003,4308
Y02767,B,2003,74
P91012,$,2004,6
P87661,$,2004,106
P92632,N,2004,2
P87627,C,1984,3
N81041,1,2013,12
Y02767,N,1984,23
P87657,Z,1971,7
P87625,W,2008,187
P87004,d,1989,76
P87004,D,1989,4
P87020,W,2000,2
P91633,5,1997,1
P87637,A,1997,33
P87637,a,1997,209
P84046,5,2009,32
P84033,1,1996,4
P84026,B,2001,2
P87017,V,2014,3992
P87008,N,1965,8
P91017,K,1999,2
NULL,W,2007,33
P87660,A,1982,5
P82003,~,1993,16
P84689,S,2009,1
P84645,6,1996,2
P87618,L,1963,1
P87024,C,2011,471
P87024,c,2011,16428
P91013,d,2014,17
P87627,6,1990,301
Y02767,H,1959,3
P92646,l,2008,2
P92646,L,2008,13
P87025,6,1974,38
P87630,P,1981,2
P87660,S,1989,38
P87039,R,2006,610
P91021,p,2008,8
P91021,P,2008,9
P87027,J,1977,16
P87637,7,1990,8
P82616,S,2000,2
P84067,F,2009,4
P84067,f,2009,6
P87648,A,1984,2
P83010,T,2000,13
P87008,E,1983,42
P87016,1,1992,1874
P87003,3,1994,10
P87027,i,2010,8811
P87027,I,2010,74
P84684,8,2010,15
P87624,d,1996,93
P87624,D,1996,55
P92014,6,1962,1
P92602,H,1999,3
P83007,R,2009,2
P87002,7,1996,482
P87004,0,2012,194
P82007,F,1983,1
P83010,6,1999,3
P87639,M,1961,6
Y02319,Z,2011,3
P87629,S,2000,73
P87629,s,2000,14
P87618,F,1984,4
P87645,H,2006,51
P87645,h,2006,4
P86005,7,1970,14
P83011,5,2004,2
P87003,2,1958,3
P92014,7,1998,3
Y02622,7,1960,3
P87639,S,1964,6
Y02625,Z,1981,5
W91062,A,2012,34
W91062,a,2012,86
P91603,1,1995,1
P87026,2,1992,1743
P87668,J,1976,1
Y02767,3,2008,792
P91630,M,2011,1
P91630,m,2011,10
N81634,1,2003,11
ZZZZ,D,1988,4
ZZZZ,d,1988,1
P91003,i,2011,21
P91003,I,2011,2
P87017,j,2013,40
P87017,J,2013,863
P83609,6,2001,24
P82008,I,2002,17
P82008,i,2002,1
P91037,2,1999,11
P92020,K,1997,1
P91009,1,2000,133
P92016,H,1999,1
P87625,V,1994,15
Y03366,D,1996,1
P87618,4,1998,75
ZZZZ,Q,1899,1
P91003,L,2011,2
P92602,6,1991,1
P82021,S,2009,8
P91009,G,1986,1
P91623,P,2002,3
P87624,U,1976,2
P92035,2,1993,1
P91013,Z,2009,24
P83004,P,1999,1
P87613,X,2011,421
NULL,T,2007,49
P87630,7,2002,230
W91062,0,2004,1
P87027,L,1967,3
P84631,8,2009,12
P87659,2,1988,30
P87632,$,2011,210
P84661,9,2009,2
P86010,7,2008,4
P87027,2,2012,79581
P87657,8,1977,5
P87610,Z,1982,12
Y02622,i,2003,10
Y02622,I,2003,2
P87610,S,1963,6
P87017,~,2007,57118
P91008,c,2012,5
P82628,d,2002,12
P87614,6,2001,65
P91006,n,1991,1
Y02886,M,1994,6
P87032,A,1900,8
Y02625,L,1994,153
Y02625,l,1994,147
P87660,U,2014,9
P91026,c,2011,54
P91026,C,2011,1
P91026,R,2005,4
P82018,D,2005,4
P82018,d,2005,1
P87008,4,1986,73
P82009,H,1992,1
P87652,G,2012,190
P87652,g,2012,1597
P82020,T,2002,3
P84010,e,2011,4
P87659,N,2000,34
P87659,n,2000,2
P87659,R,1978,1
Y02129,5,2007,30
P87627,E,1998,469
P87627,e,1998,30
P84067,4,2003,3
N81109,I,2006,8
N81109,i,2006,12
P87019,7,1961,37
P87630,A,1800,4
P84638,6,2005,4
P84033,j,1997,22
P84033,J,1997,2
P87657,5,1991,27
ZZZZ,U,1968,1
P87003,Z,1964,2
Y03079,8,2007,26
P82016,9,2005,2
P82021,M,2006,3
P82021,m,2006,2
P87004,G,1988,29
N81623,6,2005,2
P87658,T,2008,1826
P87627,5,1954,1
